"","U1","U2","U3"
"1",0.786628592,0.698186762,0.625767096
"2",0.825436956,0.756434291,0.719408279
"3",0.674552185,0.638220391,0.594329047
"4",0.667166958,0.646285064,0.56542789
"5",0.706670094,0.619071025,0.565423681
"6",0.819973441,0.800134424,0.779215248
"7",0.446353076,0.41190822,0.363998073
"8",0.694897677,0.664611556,0.540311959
"9",0.564392327,0.513796539,0.509060464
"10",0.677349053,0.594029892,0.532161309
"11",0.416033427,0.371439833,0.337557135
"12",0.61542548,0.608316989,0.572571845
"13",0.535320578,0.528073723,0.420460938
"14",0.921164148,0.823904101,0.779161694
"15",0.770693772,0.682399126,0.668968816
"16",0.493972555,0.462682675,0.457566508
"17",0.619825087,0.576511236,0.517280829
"18",0.597552656,0.572557041,0.495991708
"19",0.677733637,0.607196814,0.561418082
"20",0.599085634,0.542506555,0.481322621
"21",0.708797714,0.625198884,0.610978717
"22",0.729499615,0.694234995,0.60327718
"23",0.608397835,0.512004876,0.463833356
"24",0.646846422,0.591660254,0.551837492
"25",0.567994297,0.559628013,0.54105896
"26",0.62165215,0.58824502,0.550565429
"27",0.821661043,0.766971568,0.647817007
"28",0.608439569,0.551253488,0.491578881
"29",0.32002839,0.256295045,0.226644404
